customer_id,age,income,city_tier,spend_fmcg,spend_electronics,spend_entertainment,pref_brand,fitness,family_oriented,tech_savvy,eco_friendly
C00001,47,25412,3,51.9,56.4,50.1,1,0,1,0,0
C00002,56,44194,2,50.7,50.5,43.5,2,0,1,0,0
C00003,48,18662,3,46.0,57.5,29.8,5,0,1,0,0
C00004,45,34167,2,56.9,29.1,48.2,3,0,0,1,1
C00005,39,79030,1,77.2,33.4,49.7,3,0,1,1,0
C00006,29,22090,3,29.0,17.5,34.7,3,0,0,0,0
C00007,31,20714,3,40.9,27.0,29.8,5,1,1,1,0
C00008,53,34669,3,23.4,41.9,44.0,2,0,1,0,0
C00009,21,78353,1,100.0,56.1,42.4,2,1,0,0,0
C00010,21,65875,2,39.4,65.2,44.1,2,0,0,1,0
C00011,36,43334,2,64.6,36.4,42.1,4,1,1,0,0
C00012,54,26529,3,47.1,27.0,30.5,1,0,0,1,0
C00013,48,49306,2,60.4,26.2,57.0,1,1,0,1,1
C00014,45,15000,3,49.5,29.7,26.1,4,0,0,0,0
C00015,43,67854,2,37.0,73.3,18.1,4,0,1,0,1
C00016,23,77296,1,64.1,56.2,62.1,5,1,1,0,0
C00017,33,59330,2,55.9,56.7,9.2,4,0,1,1,0
C00018,21,64959,1,86.1,48.7,57.7,4,0,0,1,0
C00019,53,23969,3,43.0,40.0,36.2,2,0,0,0,0
C00020,53,39164,2,20.3,50.5,17.9,1,1,0,1,0
C00021,30,32724,3,19.2,32.4,23.6,3,0,0,0,0
C00022,31,53892,2,40.1,35.6,15.4,1,1,0,0,1
C00023,32,27294,3,9.9,29.9,39.6,4,1,0,0,0
C00024,59,33488,3,71.9,33.3,19.1,3,1,0,0,0
C00025,40,32227,3,54.0,40.7,41.0,3,0,1,0,0
C00026,53,95306,1,73.2,40.3,60.5,2,0,0,0,1
C00027,39,32228,2,28.4,44.3,29.3,4,1,0,0,1
C00028,50,66086,1,77.4,73.1,44.4,3,0,0,0,0
C00029,42,59922,1,77.5,72.1,72.5,4,0,1,1,0
C00030,31,59094,2,29.7,27.6,48.7,1,0,0,0,1
C00031,59,26066,3,33.5,41.6,27.4,3,0,1,0,0
C00032,51,16309,3,46.7,32.4,34.6,5,0,1,1,0
C00033,54,47640,2,54.3,40.7,27.4,1,1,0,1,0
C00034,62,31323,2,62.9,56.5,37.0,5,1,1,0,0
C00035,29,49335,2,60.7,21.2,25.7,1,1,1,0,0
C00036,22,46892,1,91.2,66.8,70.7,4,0,1,1,1
C00037,45,90576,1,92.3,51.3,82.4,5,0,1,1,0
C00038,33,54724,2,34.9,46.2,38.5,3,0,1,0,0
C00039,38,118158,1,63.2,66.1,49.7,4,0,0,0,0
C00040,29,60598,2,34.9,57.1,41.1,3,0,1,0,0
C00041,36,44713,2,32.9,38.1,33.7,4,0,0,0,0
C00042,36,30112,3,35.5,34.1,28.0,3,0,1,0,0
C00043,34,16264,3,30.6,31.4,37.3,3,0,0,1,0
C00044,52,37969,2,38.1,36.0,24.0,3,0,1,0,1
C00045,45,27082,3,54.3,46.3,41.8,2,1,0,1,0
C00046,40,15000,3,70.7,42.6,31.6,1,1,1,0,0
C00047,23,49535,2,19.1,39.4,37.5,1,0,1,0,0
C00048,44,37246,2,25.7,29.3,37.6,5,0,0,1,0
C00049,26,51266,2,33.1,28.5,54.2,1,0,0,1,1
C00050,32,58445,1,88.1,73.7,34.8,3,0,1,1,1
C00051,37,88484,1,77.5,63.1,77.3,5,1,1,1,0
C00052,24,80386,1,90.0,66.5,66.0,4,0,1,1,0
C00053,36,33752,3,55.8,52.0,44.6,3,0,0,1,1
C00054,30,50084,2,59.3,40.0,31.8,4,1,1,1,0
C00055,57,20195,3,44.7,45.8,16.7,5,1,1,0,0
C00056,58,23456,3,32.8,37.5,32.7,5,1,0,1,0
C00057,18,33197,2,49.1,13.9,37.3,3,1,1,1,0
C00058,46,55076,2,41.5,36.8,25.2,2,0,1,1,0
C00059,48,91797,1,71.1,37.8,19.2,5,0,0,1,0
C00060,35,129383,1,79.1,57.2,51.1,2,0,0,0,1
C00061,40,42227,2,58.9,31.5,34.3,2,1,0,0,0
C00062,55,46652,2,48.7,42.0,49.8,5,1,1,0,1
C00063,35,42803,2,60.5,23.0,19.3,2,0,0,1,0
C00064,21,26325,3,65.0,29.3,59.4,3,1,0,0,0
C00065,35,54771,2,51.9,63.2,34.6,5,0,1,1,0
C00066,29,49332,2,37.4,16.0,42.0,4,1,1,0,0
C00067,35,63579,2,60.6,37.3,36.5,1,0,1,0,0
C00068,28,42287,2,52.0,22.5,14.3,3,0,0,0,0
C00069,25,99723,1,76.4,59.5,64.8,2,0,1,1,0
C00070,64,56731,2,49.7,37.0,28.7,1,0,0,0,0
C00071,24,79759,1,70.2,51.3,66.8,2,0,1,0,0
C00072,51,46063,2,49.4,48.6,18.4,1,1,0,0,0
C00073,51,40166,3,43.5,60.3,24.7,3,0,1,0,0
C00074,47,63659,1,84.5,38.1,65.6,2,0,1,0,0
C00075,60,85958,1,77.3,61.9,42.5,5,0,0,0,0
C00076,18,40622,2,52.8,19.3,40.3,3,1,0,0,1
C00077,32,72320,2,62.3,36.4,23.2,1,0,0,1,0
C00078,26,61085,2,49.6,47.0,15.8,1,1,0,1,0
C00079,45,41520,2,38.1,53.1,41.5,5,0,1,0,1
C00080,47,28203,3,40.1,66.3,52.2,1,1,0,0,0
C00081,60,53221,2,25.2,56.0,30.9,1,0,1,0,0
C00082,35,43542,2,69.9,53.4,21.3,4,0,1,0,0
C00083,29,29738,3,36.9,79.5,29.8,1,1,0,1,0
C00084,61,87786,1,68.1,51.1,68.6,3,1,0,0,0
C00085,49,84313,1,86.5,57.1,42.1,3,0,1,1,0
C00086,53,79161,1,73.5,68.8,36.3,1,1,1,0,1
C00087,38,27694,3,43.2,26.3,46.1,5,0,1,1,0
C00088,39,52867,2,33.2,41.0,37.2,2,1,0,1,0
C00089,36,81181,1,70.3,79.4,43.2,3,1,1,0,0
C00090,53,41987,2,70.9,32.1,26.7,3,0,0,1,0
C00091,27,113875,1,80.6,46.5,85.8,3,0,1,0,0
C00092,63,36869,2,61.9,54.2,26.0,1,0,1,1,0
C00093,26,55345,2,65.8,56.7,37.3,4,0,1,0,0
C00094,39,45996,2,38.8,25.5,37.5,3,0,0,0,0
C00095,32,71994,2,51.4,71.1,14.9,3,0,0,1,0
C00096,48,38706,2,45.7,42.2,44.7,3,0,0,0,0
C00097,49,40809,2,27.6,43.6,35.2,5,1,1,0,0
C00098,61,60603,1,52.8,62.8,36.1,2,1,0,0,0
C00099,55,86469,1,62.0,54.9,43.5,3,0,1,0,0
C00100,29,16418,3,37.5,55.7,25.8,4,1,1,1,1
C00101,27,22009,3,40.1,42.5,50.1,1,0,0,1,0
C00102,59,23095,2,42.4,41.6,33.3,3,0,0,0,0
C00103,40,53005,2,76.7,43.4,53.2,5,1,1,0,0
C00104,22,21873,3,17.5,18.4,24.3,4,0,1,0,0
C00105,56,15699,3,52.5,38.6,52.3,2,0,1,0,0
C00106,48,31785,3,41.2,61.1,24.2,2,0,0,1,0
C00107,19,33654,2,35.4,56.3,65.6,1,1,0,1,0
C00108,54,59961,2,40.8,38.1,23.6,5,1,0,0,0
C00109,46,65979,1,77.8,57.9,43.1,5,1,1,0,0
C00110,46,35009,3,55.9,21.1,30.7,4,0,1,0,0
C00111,58,59369,2,47.8,25.4,43.6,2,1,0,0,0
C00112,41,59839,1,65.4,55.2,52.0,3,0,0,0,0
C00113,39,38536,2,64.0,48.7,21.9,3,0,0,0,0
C00114,47,57569,2,57.2,35.7,1.4,4,0,0,0,0
C00115,27,74752,1,86.6,51.3,59.8,4,0,0,0,1
C00116,25,23941,3,52.4,27.9,35.9,5,0,1,0,0
C00117,57,32951,3,52.5,44.1,0.0,2,0,0,0,0
C00118,28,20320,3,32.8,43.0,38.6,4,0,0,0,0
C00119,41,51141,2,21.5,40.3,43.3,2,0,0,0,0
C00120,30,61932,2,14.7,22.6,26.4,2,0,0,0,0
C00121,28,60113,2,46.0,44.0,26.5,2,0,0,0,0
C00122,46,48004,2,49.5,32.1,34.8,2,0,0,1,0
C00123,55,74221,1,80.2,72.8,35.2,4,0,1,0,0
C00124,38,28264,2,60.7,59.0,36.2,5,0,1,0,0
C00125,24,58875,1,43.3,57.5,50.9,4,0,1,1,0
C00126,29,53979,2,65.2,69.1,48.6,2,1,1,1,0
C00127,25,48276,2,50.6,49.8,32.3,3,1,0,0,1
C00128,59,81498,1,80.7,84.0,58.3,4,1,1,0,1
C00129,33,100785,1,68.7,53.2,27.6,3,0,0,1,0
C00130,35,35158,2,55.1,46.1,41.3,4,0,0,1,0
C00131,21,75276,1,69.5,58.8,28.8,5,0,1,0,0
C00132,38,26179,3,23.4,59.8,42.6,4,0,0,0,0
C00133,60,41198,2,46.5,9.5,45.4,3,1,0,1,0
C00134,37,67893,2,30.0,35.6,41.4,1,0,0,0,0
C00135,48,61357,2,61.8,52.0,31.7,4,0,1,0,1
C00136,26,85802,1,67.2,74.6,64.1,4,1,0,0,0
C00137,24,36213,3,70.9,36.4,61.8,1,1,1,1,0
C00138,52,31263,2,13.1,48.9,17.1,4,0,0,0,0
C00139,21,24951,3,47.0,62.8,40.8,4,0,1,0,0
C00140,39,87326,1,80.4,75.0,73.7,1,1,1,0,0
C00141,32,38568,2,31.6,19.5,20.9,2,0,1,0,0
C00142,18,53758,2,42.6,25.8,47.0,4,0,1,0,0
C00143,42,18083,3,39.0,16.9,48.6,5,0,1,1,0
C00144,63,58631,2,34.7,18.0,17.3,2,0,0,0,0
C00145,21,63222,2,48.7,25.4,43.5,1,0,0,1,0
C00146,56,53404,2,25.6,58.5,31.7,2,0,0,1,0
C00147,43,26840,2,43.3,35.3,34.3,3,1,0,0,0
C00148,52,37915,2,52.7,40.5,31.1,5,1,0,0,0
C00149,22,57058,2,41.8,25.7,50.8,2,0,0,0,0
C00150,58,80423,1,94.1,59.0,70.1,5,1,1,0,1
C00151,18,15000,3,60.5,68.1,29.4,5,1,0,0,0
C00152,60,32767,3,56.0,26.7,29.6,5,0,0,0,0
C00153,48,82733,1,84.1,51.1,38.6,3,1,0,0,0
C00154,33,39761,2,25.6,45.5,22.0,4,1,0,1,0
C00155,18,99899,1,78.3,53.0,48.7,2,0,0,1,0
C00156,46,41530,2,53.2,46.0,36.4,4,1,1,1,0
C00157,22,41394,2,49.1,45.9,39.9,3,0,0,0,1
C00158,46,54479,2,56.9,67.9,49.4,2,0,1,0,0
C00159,54,36131,3,40.1,47.8,37.9,1,1,0,0,0
C00160,30,35147,3,31.1,48.1,29.3,3,0,1,0,0
C00161,29,87194,1,72.4,60.4,55.9,5,0,1,0,0
C00162,28,27889,3,36.7,52.6,38.5,2,0,1,0,0
C00163,28,95829,1,69.3,30.5,32.3,3,0,0,1,0
C00164,23,54860,1,79.7,56.4,49.2,2,1,0,0,1
C00165,29,58051,2,36.5,83.2,38.2,1,0,1,1,0
C00166,48,40824,2,60.1,2.4,41.2,3,0,0,1,0
C00167,32,26990,3,34.3,43.5,38.2,2,1,0,0,0
C00168,54,23578,3,57.2,44.1,33.0,1,0,1,0,0
C00169,56,56265,2,10.0,36.6,25.4,5,0,0,1,0
C00170,53,25738,3,36.6,36.9,27.6,4,0,0,1,1
C00171,43,15000,2,42.4,41.4,45.2,3,1,1,1,0
C00172,32,52236,2,71.1,36.2,29.9,4,0,1,0,0
C00173,61,58026,2,27.5,43.3,18.8,5,0,0,0,0
C00174,27,27787,3,55.1,32.7,48.9,4,0,0,0,0
C00175,39,77948,1,43.8,62.6,59.6,5,1,0,0,0
C00176,39,112843,1,82.7,52.3,60.8,5,1,0,0,0
C00177,53,53892,2,39.4,48.5,40.9,2,1,0,1,0
C00178,43,27735,3,47.1,30.0,35.0,3,1,1,1,0
C00179,55,31528,3,22.8,54.0,5.3,1,0,1,0,0
C00180,61,27266,3,38.2,51.0,39.7,3,0,0,0,0
C00181,36,19387,3,64.1,46.3,50.9,5,0,1,0,0
C00182,59,15000,3,52.8,24.6,44.4,2,1,1,0,0
C00183,25,44035,2,42.6,28.7,9.5,1,0,1,1,1
C00184,61,59511,2,46.7,65.3,60.5,1,0,0,0,0
C00185,26,22793,3,53.7,28.5,19.1,1,0,1,1,1
C00186,57,60014,2,56.6,49.6,22.1,5,0,0,0,1
C00187,36,51859,2,36.7,25.8,44.4,3,0,1,1,0
C00188,63,105761,1,53.6,63.7,68.1,1,0,0,0,1
C00189,24,23154,3,64.7,29.7,36.0,1,0,1,0,1
C00190,39,55845,2,55.2,25.6,28.2,5,1,0,0,0
C00191,60,28161,3,32.4,29.3,51.0,1,0,0,0,1
C00192,20,110032,1,63.3,77.0,75.7,2,0,0,0,0
C00193,30,45867,1,60.8,48.3,64.8,1,1,0,0,0
C00194,21,22134,3,45.9,41.0,49.8,2,1,0,0,0
C00195,33,96970,1,63.5,60.5,61.8,2,0,0,0,0
C00196,36,110917,1,88.8,60.6,67.6,5,0,1,1,0
C00197,47,53000,2,64.3,22.8,41.9,1,1,0,0,0
C00198,30,23170,3,53.6,49.7,63.7,1,1,1,0,0
C00199,25,95142,1,74.5,56.0,60.4,4,1,1,0,0
C00200,25,60858,2,33.1,39.6,35.2,3,0,0,0,0
C00201,62,22752,3,49.5,44.1,43.6,1,0,1,1,0
C00202,62,27064,3,42.7,66.3,31.4,1,0,0,0,0
C00203,28,64756,2,51.6,37.6,44.6,5,0,1,1,0
C00204,27,117809,1,86.1,85.0,63.1,2,0,0,0,0
C00205,20,94852,1,78.1,48.6,78.7,1,0,0,1,0
C00206,63,80882,1,57.2,76.5,56.2,5,0,1,0,1
C00207,51,78918,1,85.2,68.2,49.4,1,0,1,0,1
C00208,53,56967,2,39.5,31.0,24.5,3,0,1,1,1
C00209,31,77686,1,68.5,58.6,49.2,3,0,1,0,1
C00210,48,52370,2,58.0,36.2,28.9,2,0,1,1,0
C00211,20,36776,2,59.6,53.5,37.4,5,0,1,1,0
C00212,49,66213,2,66.0,56.6,34.6,3,0,0,1,0
C00213,45,57196,1,97.2,83.5,63.2,2,0,1,0,1
C00214,33,22299,3,43.3,45.0,52.2,5,0,0,0,1
C00215,51,25609,3,41.2,36.1,37.3,5,0,0,0,1
C00216,48,37443,3,19.0,4.6,45.1,5,1,0,0,0
C00217,38,71546,1,89.2,35.8,44.1,5,0,1,0,0
